gisid	bbox
104-55	761789,2957297,762061,2957579
142-121	761107,2962507,761362,2962810
248-18	752720,2964085,753091,2964372
190-106	754886,2969365,755130,2969622
231-38	755107,2963908,755412,2964225
139-17	762087,2961583,762344,2961842
231-7	755113,2963344,755482,2963719
199-92	757178,2967778,757538,2968092
75-35	764761,2958681,765039,2958936
77-34	765260,2959435,765571,2959709
101-104	761290,2956624,761595,2956935
21-107	769417,2960975,769652,2961241
267E-290	750783,2967703,751347,2968132
80-3	765540,2960991,765806,2961259
85-12	764978,2960957,765278,2961230
174-13	758374,2964597,758649,2964884
193-186	755348,2968595,755633,2968844
221-44	755680,2961869,755941,2962117
165-34	758109,2960867,758483,2961256
72A-1	765082,2957497,766186,2958314
82-2	764981,2961608,765214,2961822
229-128	755615,2965347,755866,2965600
118-60	762847,2959216,763161,2959502
149-106	759734,2963959,760027,2964235
98-13	761143,2954902,761440,2955188
40-171	766361,2959291,766671,2959608
86-108	764908,2959898,765173,2960145
26-112	768436,2959461,768705,2959700
151-96	760225,2964982,760494,2965247
140-144	761508,2962097,761831,2962386
113-76	763003,2960699,763341,2961014
205-75	756036,2965901,756297,2966173
184-133	756065,2970255,756364,2970544
80-175	766055,2960786,766468,2961168
184-26	755405,2970740,755678,2971012
250-31	752263,2962745,752591,2963080
194-76	755348,2967665,755689,2967957
184-115	755836,2970470,756110,2970737
116-2	761241,2960169,761583,2960553
91-93	763847,2958245,764108,2958503
227-12	756070,2964504,756351,2964786
97-27	761751,2955841,762078,2956161
24-42	769139,2959832,769401,2960139
61-11	763016,2954791,763413,2955165
242A-160	753867,2960936,754244,2961265
239-70	754864,2962299,755279,2962627
75-57	764552,2957685,764803,2957962
40-192	766593,2959666,766845,2959944
195-151	755769,2967733,756011,2968015
189-103	754620,2970368,754901,2970636
195-154	755807,2967734,756049,2968016
262-39	755096,2965524,755392,2965843
188-57	754378,2970562,754676,2970803
167-90	757701,2961523,758012,2961827
192-176	755585,2968900,755908,2969153
267B-158	748789,2967691,749097,2967965
140-136	761589,2961843,761970,2962122
86-89	764976,2960055,765249,2960335
127-38	760770,2956907,761043,2957177
230-135	755088,2964433,755453,2964732
268B-47	753406,2967839,754306,2968855
108-78	763292,2959815,763582,2960096
21-19	769244,2960497,769501,2960800
97-87	762122,2956178,762423,2956486
220-165	755908,2961695,756557,2962296
146A-141	761679,2963501,761968,2963794
176-83	758714,2965684,758974,2966004
248-35	752467,2963758,752734,2964074
192-27	755458,2968996,755783,2969250
267A-254	748448,2968499,748773,2968788
191-51	755672,2969389,755958,2969663
203A-5	755316,2967113,755614,2967371
86-11	764680,2959958,764991,2960246
240-23	754113,2962045,754426,2962352
151-13	759799,2965360,760229,2965629
92-69	763738,2957543,764023,2957841
145-9	760641,2962830,760991,2963158
215-66	757354,2963416,757664,2963696
39-66	766878,2960047,767149,2960297
126-123	761071,2957964,761304,2958228
251-9	751883,2961927,752170,2962230
105-109	762403,2957952,762721,2958246
175-67	758515,2965045,758794,2965363
200-42	757936,2967251,758249,2967546
216-7	757559,2962949,757889,2963270
232-34	754678,2963892,754995,2964146
251-42	751847,2963165,752152,2963490
90-14	763475,2958870,763848,2959265
106-58	762769,2957689,763071,2957999
174-49	758214,2964170,758550,2964514
234-176	753211,2964932,753541,2965252
262-114	754898,2965128,755222,2965427
259-17	752114,2963885,752407,2964158
93-19	763116,2957179,763444,2957522
108-20	763106,2959854,763367,2960121
199-98	757346,2967204,757787,2967760
224-32	756108,2963311,756595,2963676
219-16	756886,2961633,757164,2961941
263-6	754045,2965211,754344,2965492
90-21	763717,2959218,764005,2959526
81-3	765512,2961243,765821,2961577
188-45	754226,2970661,754537,2970904
126-154	761170,2957770,761472,2958002
162-52	758593,2960530,758852,2960790
227-100	755893,2964489,756273,2964855
207-45	756575,2965022,756901,2965374
88-55	764687,2958949,764953,2959220
74-12	764950,2957875,765196,2958131
155-22	759454,2964694,759740,2964940
191-99	755862,2969606,756142,2969892
136-12	760422,2961162,760760,2961436
96-132	762280,2955089,762533,2955345
24-120	769220,2959469,769455,2959709
140-52	762518,2961988,762807,2962245
156-7	759381,2964449,759632,2964752
140-75	762051,2962289,762311,2962535
126-84	761177,2957840,761463,2958072
218-12	756947,2962899,757254,2963214
137-13	760646,2961478,760939,2961789
203B-67	755329,2966861,755611,2967127
39-150	767018,2960015,767278,2960321
36-117	767039,2960867,767305,2961238
255-67	749900,2961927,750170,2962178
114A-66	763767,2961209,764114,2961555
105-111	761967,2957771,762251,2958038
193-136	755227,2968549,755469,2968839
53-54	765499,2956479,765852,2956802
93-1	762849,2957250,763111,2957514
25-74	768891,2959778,769126,2960056
195-156	755543,2967393,756129,2967798
253-112	750554,2962727,750816,2963022
265D-52	752376,2968505,753025,2969108
102-37	761549,2955829,761872,2956137
191-98	755838,2969591,756118,2969872
196-44	756794,2968488,757120,2968825
87-135	764229,2960342,764498,2960599
17-89	769143,2959218,769439,2959509
142-15	760814,2961922,761079,2962261
131-70	759817,2959192,760368,2959758
177-34	758741,2966436,759068,2966776
101-194	761195,2956287,761491,2956583
99-14	760869,2954943,761162,2955220
121-54	760727,2959236,761008,2959536
242A-144	753549,2961622,753813,2961855
107-111	763134,2959190,763417,2959472
193-159	755016,2969017,755339,2969269
181-12	757649,2968261,757932,2968543
258-13	750057,2962980,750362,2963244
101-166	760690,2956167,760971,2956443
105-122	762505,2957995,762803,2958273
75-151	764543,2958355,764819,2958612
34-40	768068,2960580,768296,2960831
103-36	762440,2956898,762724,2957179
116-119	761080,2960002,761403,2960301
164-5	757962,2960228,758610,2960993
62-36	763146,2954118,763759,2954593
271-56	754798,2967463,755091,2967704
183-39	756884,2969510,757182,2969802
239-26	754701,2962412,755051,2962788
240-36	754110,2962270,754522,2962668
129-58	759856,2957361,760405,2957757
94-22	762535,2956770,762798,2957035
155-17	759566,2964685,759807,2964957
191-102	755938,2969684,756205,2969955
93-34	763152,2957508,763456,2957819
192-161	756065,2969317,756396,2969663
25-38	768953,2960017,769219,2960323
178-74	758284,2967206,758554,2967468
182-76	757088,2969020,757392,2969334
105-112	762016,2957811,762276,2958057
149-97	760190,2963947,760494,2964264
199-90	757603,2967747,757916,2968062
26-28	768286,2959623,768541,2959929
174-21	758498,2964656,758798,2964970
39-25	766818,2960058,767090,2960369
267.4-288	751576,2969005,752229,2969683
198-89	756986,2968281,757282,2968545
66-125	762583,2954684,762973,2955048
126-140	760672,2957294,760950,2957589
142-145	761240,2962222,761479,2962491
162-29	758316,2960827,758592,2961089
172-26	758150,2962962,758490,2963318
103-89	761813,2956739,762095,2957006
267D-282	749157,2967503,749532,2967919
74-132	765043,2958445,765345,2958688
124-10	761657,2958725,761926,2959011
121-47	760528,2959465,760802,2959751
114A-115	763673,2961262,763951,2961523
132-19	760046,2960088,760334,2960415
93-40	763334,2957238,763607,2957521
139-59	762284,2961447,762612,2961751
247-87	752875,2962164,753165,2962486
199-107	757067,2967120,757373,2967412
118-71	762938,2959370,763227,2959634
103-107	762432,2957281,762698,2957552
24-13	769280,2959552,769563,2959862
78-99	765832,2959565,766106,2959838
249-48	752401,2962864,752709,2963179
79-95	765406,2960431,765676,2960701
90-191	763598,2958858,763917,2959163
274-1G	759841,2953841,761514,2955876
218-59	756155,2962790,756504,2963160
218-30	756574,2962826,756922,2963174
18-53	769982,2960102,770220,2960332
105-81	762788,2958353,763162,2958717
267C-3	749246,2968518,749520,2968827
254-4	750246,2961961,750618,2962265
135-115	761395,2960677,761657,2960954
155-25	759339,2964592,759642,2964899
254-24	750266,2962667,750635,2962955
154-94	759705,2965434,759951,2965706
17-52	769212,2959049,769488,2959286
251-163	751787,2962634,752098,2962957
187-32	753556,2970648,753816,2970946
193-169	755070,2968559,755354,2968870
22-60	769006,2960782,769296,2961095
116-94	761209,2959730,761499,2960038
175-20	758394,2965019,758702,2965322
179-37	758818,2967273,759151,2967595
118-47	762901,2959462,763177,2959722
102-63	761744,2956176,762051,2956477
88-69	764540,2959304,764820,2959570
102-71	761502,2956213,761778,2956493
267.3-255	748358,2968892,748684,2969180
117-64	762004,2959257,762346,2959593
265B-28	752216,2966757,752712,2967367
141-90	761597,2962600,761924,2962860
93-35	763195,2957485,763486,2957785
172-63	758372,2963417,758681,2963750
192-5	755581,2969050,755881,2969350
142-152	761418,2962547,761691,2962791
70-34	764851,2957082,765216,2957492
104-132	761561,2957138,761860,2957449
214-7	757749,2963764,758070,2964101
272-17	755553,2965814,755925,2966166
93-25	763148,2956990,763432,2957273
108-35	763636,2959678,763959,2960021
156-65	759237,2964395,759492,2964752
74-6	764984,2957716,765258,2957972
223-60	755468,2963125,755747,2963450
39-3	766540,2959851,766838,2960128
261-198	754019,2965631,754302,2965885
209-28	757295,2964931,757670,2965231
25-106	768165,2959893,768421,2960140
149-148	760624,2964074,760906,2964381
266-30	748642,2966691,748973,2967006
140-95	761571,2962452,761894,2962711
127-1	760563,2956860,760801,2957126
250-23	752387,2962604,752713,2962895
178-101	758517,2966577,758769,2966883
201.5-19	757143,2966111,757440,2966425
184-164	756135,2970648,756418,2970935
151-120	759980,2965230,760219,2965573
182-84	757043,2968539,757596,2968989
201-103	757837,2966598,758104,2966871
188-63	754375,2970802,754673,2971044
210-32	757774,2965807,758086,2966114
240-44	754366,2962026,754723,2962362
34-58	768060,2960516,768344,2960757
169-88	758282,2961829,758606,2962143
229-121	755238,2965047,755626,2965398
85-33	765171,2960835,765489,2961130
206-45	756327,2965346,756662,2965693
63-134	762401,2954016,763114,2954702
156-45	759387,2963934,759654,2964271
251-257	751952,2961961,752248,2962195
98-67	761451,2954779,761764,2955097
142-104	761003,2962260,761260,2962530
104-9	761463,2956911,761764,2957220
89-61	764555,2958719,764851,2958992
141-92	761770,2962668,762044,2963016
267.1-280	749624,2970108,750682,2971338
233-120	754400,2964362,754682,2964612
202-115	756980,2966528,757242,2966765
104-95	762213,2957440,762521,2957740
107-47	763303,2959059,763579,2959326
188-44	754226,2970704,754536,2970945
146-14	761191,2963045,761539,2963455
241-14	754377,2961117,755502,2961971
126-155	761161,2957744,761475,2957982
153-57	759245,2965580,759503,2965875
17-34	769405,2959324,769672,2959574
146A-140	761848,2963359,762215,2963657
29-34	768310,2957826,768990,2958497
253-72	750736,2963069,751005,2963433
188-148	754557,2970255,754829,2970537
80-172	765845,2960961,766133,2961208
25-89	768327,2959975,768577,2960276
101-42	760910,2956244,761211,2956552
246-15	753204,2961905,753779,2962474
125-43	761946,2958023,762187,2958337
75-62	764743,2957960,764992,2958220
239-38	754880,2961898,755177,2962178
178-127	758342,2966844,758651,2967141
127-130	761166,2957032,761432,2957301
85-67	764890,2960978,765195,2961266
83-29	764446,2961568,764713,2961817
130-17	760195,2958132,760439,2958407
154-104	759020,2965025,759278,2965340
271-72	755250,2966444,755617,2966830
252A-130	751400,2962473,751708,2962752
247-74	752880,2963721,753144,2964003
251-190	751434,2963024,751741,2963327
34-116	767554,2960607,767822,2960916
225-32	756376,2963559,756659,2963832
122-194	760428,2958018,760660,2958333
115-106	762637,2960192,762967,2960465
75-30	764702,2958732,764984,2958994
91-99	763972,2958137,764327,2958498
200-94	758062,2967261,758359,2967535
125-39	761757,2958086,762034,2958320
93-130	763375,2957323,763614,2957570
25-26	768305,2960131,768541,2960434
230-56	755052,2964179,755345,2964466
262-57	754173,2965460,754461,2965767
112-141	762712,2960850,763078,2961211
189-14	754721,2970515,755034,2970755
100-7	760566,2955616,760835,2955886
26-35	768127,2959664,768376,2959889
229-26	755563,2965230,755879,2965535
96-77	762237,2955526,762495,2955800
234-25	753209,2964429,753568,2964721
192-126	755958,2969392,756249,2969694
1A-172	772402,2959812,772988,2960292
239-51	754953,2961977,755263,2962252
119-92	762197,2958872,762526,2959207
234-189	753111,2964801,753469,2965089
229-82	755126,2964894,755437,2965242
200-6	757617,2967131,757880,2967405
95-70	762741,2955949,763216,2956384
114-131	763310,2960087,763576,2960380
139-12	761844,2961498,762204,2961820
110-18	764031,2961112,764293,2961369
180-51	758393,2968178,758671,2968464
120-28	761435,2959097,761737,2959389
196-154	756527,2968891,756893,2969255
193-187	755348,2968538,755635,2968795
34-70	767912,2960236,768177,2960485
194-15	755295,2967512,755605,2967869
65-14	761702,2954758,762053,2955123
135-62	761448,2960554,761715,2960821
267.2-269	751263,2970124,751716,2970550
147-37	761017,2964184,761335,2964500
101-124	761319,2956327,761608,2956600
269-9	754150,2969766,754474,2970020
262-118	754756,2965114,755054,2965434
134-20	760528,2960299,760908,2960684
151-106	759951,2965116,760191,2965392
140-128	762473,2962320,762737,2962615
233-171	753573,2964400,753931,2964686
25-139	768969,2959793,769223,2960044
40-152	766158,2959312,766399,2959560
102-143	761793,2956305,762084,2956621
86-82	764767,2959281,765099,2959601
36-247	767167,2960885,767532,2961180
113-73	763195,2961336,763533,2961651
122-180	761081,2958891,761339,2959123
---	756289,2965276,756535,2965516
254-81	750380,2961741,750627,2962013
193-201	755192,2968553,755429,2968805
172-65	758299,2962837,758663,2963241
80-95	766063,2960720,766320,2961018
178-132	758060,2966996,758420,2967368
253-49	750618,2962831,750874,2963122
87-2	763969,2959832,764254,2960105
107-89	762960,2958953,763232,2959225
205-60	756293,2966014,756573,2966316
129-9	760263,2957148,760577,2957543
222-32	755822,2962573,756152,2962824
141-11	761729,2962549,761973,2962881
189-90	754661,2970883,754916,2971211
250-212	752135,2962752,752473,2963106
221-98	755866,2962143,756113,2962408
199-29	757268,2968046,757546,2968312
40-149	766196,2959492,766484,2959804
99-42	760991,2955535,761332,2955874
195-55	755899,2968214,756159,2968527
112-139	762399,2960666,762744,2960989
79-45	765426,2960106,765705,2960370
206-30	756439,2965406,756739,2965698
35-62	767626,2960884,767899,2961136
215-5	757320,2963450,757643,2963759
171-1	758014,2962613,758245,2962852
121-69	760810,2959113,761078,2959404
98-57	760969,2954857,761231,2955123
172-73	758479,2963274,758851,2963629
192-15	755588,2968650,755972,2968903
234-91	753407,2964562,753694,2964819
97-130	762159,2955948,762608,2956455
242A-44	753609,2961577,753870,2961881
266-9	748225,2965044,748575,2965381
65-4	761887,2954827,762210,2955170
---	767155,2961370,767422,2961615
142-153	761363,2962560,761637,2962839
85-72	765241,2960991,765545,2961263
149-62	760542,2963981,760804,2964251
195-56	755799,2968206,756099,2968472
70-98	764325,2957372,764661,2957768
263-51	754697,2964979,754985,2965288
199-33	757282,2967656,757664,2968026
37-58	766937,2960566,767218,2960904
94-180	762838,2957079,763132,2957382
93-69	763304,2957598,763606,2957879
93-118	763144,2957399,763434,2957699
247-180	752767,2962989,753087,2963262
78-119	765738,2959388,766075,2959665
203A-68	755412,2967100,755715,2967354
233-146	754351,2964550,754636,2964826
200-95	758049,2967240,758346,2967514
229-143	755940,2965040,756228,2965327
188-58	754377,2970601,754675,2970843
223-55	755641,2963207,755962,2963486
